time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-01-08 00:00:00,24,9.9,41,0,,50,11,,1013,,5
2025-01-08 01:00:00,23,10.1,44,0,,90,9,,1013,,5
2025-01-08 02:00:00,21,9.9,49,0,,60,11,,1012,,5
2025-01-08 03:00:00,21,9.9,49,0,,110,6,,1012,,5
2025-01-08 04:00:00,20,7,43,0,,40,6,,1012,,5
2025-01-08 05:00:00,19,8,49,0,,70,7,,1012,,5
2025-01-08 06:00:00,19,8,49,0,,20,7,,1013,,5
2025-01-08 07:00:00,20,8,46,0,,30,11,,1014,,5
2025-01-08 08:00:00,21,8.9,46,0,,60,9,,1014,,5
2025-01-08 09:00:00,26,7.1,30,0,,50,9,,1015,,5
2025-01-08 10:00:00,30,7.2,24,0,,70,7,,1015,,5
2025-01-08 11:00:00,32,6.2,20,0,,110,6,,1015,,5
2025-01-08 12:00:00,32.5,8.7,23,0,,88,9.3,,1013.9,,2
2025-01-08 13:00:00,33.7,8.4,21,0,,118,9.3,,1013.1,,2
2025-01-08 14:00:00,36,8,18,0,,270,6,,1011,,5
2025-01-08 15:00:00,36,7.1,17,0,,270,9,,1011,,5
2025-01-08 16:00:00,35,7.9,19,0,,270,11,,1010,,5
2025-01-08 17:00:00,35,7.9,19,0,,250,7,,1010,,5
2025-01-08 18:00:00,33,9.1,23,0,,240,7,,1010,,5
2025-01-08 19:00:00,31,10.9,29,0,,260,6,,1011,,5
2025-01-08 20:00:00,30,10,29,0,,162,13,,1012,,5
2025-01-08 21:00:00,28,10.2,33,0,,50,6,,1013,,5
2025-01-08 22:00:00,28,7.8,28,0,,30,15,,1013,,5
2025-01-08 23:00:00,28,7.8,28,0,,50,15,,1013,,5
2025-01-09 00:00:00,27,6.9,28,0,,50,15,,1013,,2
2025-01-09 01:00:00,25,7.2,32,0,,30,9,,1013,,2
2025-01-09 02:00:00,25,7.2,32,0,,50,7,,1012,,5
2025-01-09 03:00:00,24,5.8,31,0,,70,11,,1012,,2
2025-01-09 04:00:00,23,5,31,0,,30,11,,1012,,2
2025-01-09 05:00:00,22.3,5.7,34,0,,27,11.1,,1012.5,,2
2025-01-09 06:00:00,22,5,33,0,,40,13,,1012,,2
2025-01-09 07:00:00,21,6.1,38,0,,60,9,,1013,,2
2025-01-09 08:00:00,21,7.9,43,0,,50,11,,1014,,5
2025-01-09 09:00:00,25,7.2,32,0,,50,7,,1014,,5
2025-01-09 10:00:00,28,10.2,33,0,,110,6,,1015,,5
2025-01-09 11:00:00,31,9.3,26,0,,170,9,,1014,,5
2025-01-09 12:00:00,33,7.8,21,0,,230,6,,1014,,5
2025-01-09 13:00:00,33,7.8,21,0,,340,11,,1012,,5
2025-01-09 14:00:00,34,9.3,22,0,,109,9.3,,1011.9,,2
2025-01-09 15:00:00,35,8.7,20,0,,260,7,,1010,,5
2025-01-09 16:00:00,35,8.7,20,0,,56,7.4,,1010.3,,2
2025-01-09 17:00:00,34,10,23,0,,270,13,,1010,,5
2025-01-09 18:00:00,32,8.3,23,0,,270,11,,1010,,5
2025-01-09 19:00:00,30,9,27,0,,240,7,,1011,,5
2025-01-09 20:00:00,29,10.2,31,0,,360,7,,1012,,5
2025-01-09 21:00:00,25,11.9,44,0,,100,7,,1013,,5
2025-01-09 22:00:00,25.8,11.2,40,0,,38,13,,1013.5,,2
2025-01-09 23:00:00,23,9,41,0,,360,7,,1013,,5
2025-01-10 00:00:00,23,9,41,0,,70,7,,1013,,5
2025-01-10 01:00:00,22,7,38,0,,40,9,,1013,,5
2025-01-10 02:00:00,22,7,38,0,,50,13,,1012,,5
2025-01-10 03:00:00,21,6.9,40,0,,30,15,,1012,,5
2025-01-10 04:00:00,21,6.9,40,0,,30,11,,1012,,5
2025-01-10 05:00:00,20,8,46,0,,40,13,,1013,,5
2025-01-10 06:00:00,20,8,46,0,,50,13,,1013,,5
2025-01-10 07:00:00,19.5,7.6,46,0,,34,13,,1014,,2
2025-01-10 08:00:00,21,6.1,38,0,,70,13,,1014,,2
2025-01-10 09:00:00,25,5.2,28,0,,40,9,,1015,,2
2025-01-10 10:00:00,28,7.8,28,0,,40,9,,1015,,2
2025-01-10 11:00:00,30,6,22,0,,110,6,,1014,,2
2025-01-10 12:00:00,33,11,26,0,,150,6,,1014,,2
2025-01-10 13:00:00,33.3,8.7,22,0,,143,14.8,,1013.3,,2
2025-01-10 14:00:00,35,7.9,19,0,,139,14.8,,1011,,2
2025-01-10 15:00:00,35,7.2,18,0,,250,13,,1011,,2
2025-01-10 16:00:00,34.7,9.9,22,0,,82,13,,1010.9,,2
2025-01-10 17:00:00,34,7.1,19,0,,250,9,,1010,,2
2025-01-10 18:00:00,33,6.3,19,0,,230,9,,1010,,2
2025-01-10 19:00:00,30,7.2,24,0,,350,11,,1011,,2
2025-01-10 20:00:00,29,3.8,20,0,,10,9,,1012,,2
2025-01-10 21:00:00,26,6.1,28,0,,70,15,,1013,,2
2025-01-10 22:00:00,25,5.2,28,0,,50,19,,1014,,2
2025-01-10 23:00:00,26,7.1,30,0,,80,11,,1014,,2
2025-01-11 00:00:00,25,1.8,22,0,,50,24,,1014,,2
2025-01-11 01:00:00,25,3,24,0,,50,19,,1014,,2
2025-01-11 02:00:00,25,3,24,0,,40,7,,1013,,2
2025-01-11 03:00:00,25,1.2,21,0,,40,11,,1013,,2
2025-01-11 04:00:00,22,15.1,65,0,,60,7,,1013,,2
2025-01-11 05:00:00,19,8,49,0,,60,7,,1013,,2
2025-01-11 06:00:00,20.9,12.1,57,0,,40,11.1,,1013.8,,2
2025-01-11 07:00:00,20.4,10.5,53,0,,32,13,,1014,,2
2025-01-11 08:00:00,19,8.9,52,0,,40,13,,1014,,2
2025-01-11 09:00:00,23,7.9,38,0,,70,6,,1014,,2
