date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,24.6,20.8,27.7,0,,247,13.4,,1017.3,
2024-01-02,23.5,20.2,27.2,0,,244,14.3,,1017,
2024-01-03,22.9,18.8,28,0,,224,13.5,,1015,
2024-01-04,23.5,22,25.4,0,,278,24.4,,1015.6,
2024-01-05,22.2,18,25.5,0,,260,12.9,,1016.2,
2024-01-06,21.9,17.4,25.8,0,,220,12,,1016.9,
2024-01-07,21.6,17.7,25.3,0,,242,11.6,,1017.7,
2024-01-08,22.8,16.8,27.7,0,,74,11.1,,1020.1,
2024-01-09,22.5,18.3,26.5,0,,29,10.8,,1020.4,
2024-01-10,21.7,17.6,25.9,0,,28,9.9,,1019.6,
2024-01-11,20.7,16,24.9,0,,209,9.2,,1017.9,
2024-01-12,21.1,15.3,26.2,0,,218,10.2,,1016.5,
2024-01-13,22.2,16.5,27.5,0,,201,9,,1016.8,
2024-01-14,22.8,17.6,28.6,0,,129,8.6,,1016.8,
2024-01-15,23.6,18.1,29.8,0,,194,9.6,,1017.2,
2024-01-16,23.4,17.9,28,0,,230,12.5,,1015.8,
2024-01-17,23.7,20.5,26.7,0,,276,22.5,,1014.1,
2024-01-18,22.3,19.5,26.3,0,,227,12.5,,1014.9,
2024-01-19,21.8,18.7,25.5,0,,221,13.2,,1016.6,
2024-01-20,22.1,17,26.2,0,,217,11.1,,1018.9,
2024-01-21,21.6,18,25.8,0,,232,10.7,,1018.2,
2024-01-22,22.2,17,26.5,0,,233,12,,1019.2,
2024-01-23,22.6,18,27.6,0,,252,10,,1019.4,
2024-01-24,21.6,17.5,27.3,0,,204,10,,1017.7,
2024-01-25,22.4,16.3,28.4,0,,213,10.1,,1016.5,
2024-01-26,23.9,19,30.4,0,,152,9,,1015.1,
2024-01-27,24.8,20.3,30,0,,141,15.3,,1015.3,
2024-01-28,23.3,22.2,26.1,0,,258,13.8,,1016.2,
2024-01-29,21.7,17.6,24.7,0,,237,14.1,,1017.4,
2024-01-30,23.3,18.3,27.4,0,,184,8.1,,1017,
2024-01-31,25.1,20.7,29.3,0,,89,8.7,,1015.6,
2024-02-01,23.9,20,28.3,2,,80,17.3,,1012.4,
2024-02-02,23.6,21,28.2,3.8,,258,23.1,,1012.6,
2024-02-03,20.8,19.6,22.2,0,,273,24.2,,1017.5,
2024-02-04,20.7,19.9,22.5,0,,277,22.4,,1019.2,
2024-02-05,20.5,15.8,24,0,,247,18.1,,1019.1,
2024-02-06,21.7,17.5,24.8,0,,263,22.3,,1019.3,
2024-02-07,20.3,16.1,24.3,0,,239,14.8,,1020.8,
2024-02-08,20.5,15.9,24.9,0,,230,14.9,,1021.3,
2024-02-09,20.6,17.4,24,0,,237,11.9,,1019.6,
2024-02-10,20.6,15.8,24.4,0,,189,10.4,,1019.2,
2024-02-11,19.3,17.7,21.6,0,,50,11.2,,1019,
2024-02-12,20.1,17.8,25,36.7,,71,20.1,,1016.1,
2024-02-13,22.2,18.4,26,37.1,,64,13.9,,1017.3,
2024-02-14,23.8,19.9,27.8,0,,83,16.6,,1017.6,
2024-02-15,24.7,20.3,29.8,0,,73,11.9,,1017.8,
