date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,29.4,25,35.4,0,,260,9.1,,1012.5,
2024-01-02,28.9,25.2,35.8,0.7,,253,9.3,,1013.2,
2024-01-03,29.3,25,35,2.4,,234,9.8,,1013.2,
2024-01-04,29.2,26,35,1.4,,232,9.5,,1013.1,
2024-01-05,28.9,25.6,34,0.9,,255,9.5,,1012.7,
2024-01-06,30.4,25.9,34.8,0,,237,9.3,,1012.8,
2024-01-07,29.5,25.6,35.2,0.2,,230,8.8,,1011.9,
2024-01-08,29.4,25.7,35.2,0,,227,10.5,,1011.4,
2024-01-09,29.1,26,35,0,,235,9.8,,1011.6,
2024-01-10,29,25.1,34.2,0,,253,10.3,,1012.5,
2024-01-11,29.3,26,36,0,,263,9.7,,1011.9,
2024-01-12,29.8,25.9,36.2,0.2,,258,8,,1011.6,
2024-01-13,29.8,25.5,35.8,0,,241,10.5,,1011.9,
2024-01-14,29.3,25.8,34.1,0,,271,9.8,,1012.7,
2024-01-15,29.4,25.5,35.7,0,,264,10,,1013.7,
2024-01-16,29.6,25.5,36,0,,283,10.4,,1014.1,
2024-01-17,30.4,24.4,35.1,0,,345,9,,1014.3,
2024-01-18,28.2,24,34,0,,344,8.4,,1013.3,
2024-01-19,28.4,25,34.5,0,,204,7.8,,1013.3,
2024-01-20,29.4,25,35.2,0,,265,7.7,,1013.8,
2024-01-21,31.3,24.9,35.8,0,,262,7.6,,1013.4,
2024-01-22,29.3,25.5,35.2,0,,254,10.7,,1013.4,
2024-01-23,29.6,25,35.6,0,,231,10.2,,1014,
2024-01-24,29.9,25.5,35.1,1.1,,208,9.3,,1013.6,
2024-01-25,29.5,25.1,35.1,0,,66,12.2,,1013.6,
2024-01-26,28.8,23.7,35.4,0,,103,10.6,,1013.5,
2024-01-27,28.1,22,35.5,0,,81,8.8,,1012.8,
2024-01-28,28.4,23,35.2,0,,61,11,,1012.6,
2024-01-29,28.7,23.5,36.2,0,,17,7.8,,1012.8,
2024-01-30,29.3,24.5,36.4,0,,260,9.7,,1012.2,
2024-01-31,29.3,26,35.7,0,,253,10.2,,1012.9,
2024-02-01,29.4,24.6,35.7,0,,235,10.5,,1013.9,
2024-02-02,29.5,26,35.3,0,,260,10.1,,1012.6,
2024-02-03,28.9,23.5,35.4,0,,77,9.9,,1011.6,
2024-02-04,29,23.1,36,0,,95,10.2,,1012.2,
2024-02-05,28.7,23,37,0,,76,10.7,,1014,
2024-02-06,28.6,23,36,0,,75,10.7,,1014,
2024-02-07,28.8,22.5,35.6,0,,83,9.8,,1013.5,
2024-02-08,29,22,37.1,0,,323,8.2,,1012.8,
2024-02-09,28.6,24.2,35,0,,219,9.7,,1013,
2024-02-10,30.1,26,35.8,0,,225,10.6,,1012.2,
2024-02-11,29.9,26.8,36,0,,230,12,,1011.7,
2024-02-12,30.1,27,35.5,0,,234,11.3,,1011.1,
2024-02-13,30.8,27.5,36.6,0.3,,229,13.9,,1011.5,
2024-02-14,31.2,28,36.7,0.4,,224,15.6,,1011.9,
2024-02-15,29.8,27,35.6,0.6,,236,10.6,,1011.7,
2024-02-16,30.3,25.8,36,0,,247,10.4,,1011.6,
2024-02-17,30.3,26,36.2,0.8,,241,11.9,,1011.9,
2024-02-18,30.3,27,35.7,0.2,,242,10.2,,1011.5,
2024-02-19,30.3,27.5,35,0.2,,242,11.8,,1011,
2024-02-20,28.6,23,33.5,8.2,,208,12,,1009.8,
2024-02-21,29.5,24.2,36,1.5,,238,9.6,,1008.9,
2024-02-22,27.3,23,31.8,0,,142,13,,1009,
2024-02-23,29.1,26.3,33,2.5,,170,8.6,,1010,
2024-02-24,28.6,24.1,33.7,23.9,,142,10.5,,1011.8,
2024-02-25,29.4,25,35,0,,218,9.5,,1012.4,
2024-02-26,30.2,26.5,34.5,0.7,,209,12.4,,1011.4,
2024-02-27,30,26.4,34.8,1.1,,222,11.3,,1010.5,
2024-02-28,29.8,26.5,34.6,0.7,,232,13.4,,1010,
2024-02-29,30.2,26.8,35,0.5,,236,17.9,,1009.3,
2024-03-01,29.7,26.8,33.5,1,,227,14.5,,1009.8,
2024-03-02,30.2,26.5,35.5,1.2,,216,14.7,,1010.9,
2024-03-03,29.8,25.5,35,1.2,,227,8.8,,1011.8,
2024-03-04,29.7,25.3,35.2,0,,229,12.4,,1010.9,
2024-03-05,29.5,26.5,35,0,,233,12.8,,1011,
2024-03-06,30.1,27,35,0.5,,228,14.5,,1011.5,
2024-03-07,29.1,25,35,0,,238,13.6,,1012.3,
2024-03-08,29,25.8,34.6,0.6,,236,15.4,,1012.3,
2024-03-09,26.7,21,34.6,4,,230,10.7,,1012.1,
2024-03-10,29.4,25,35,0,,220,9.5,,1011.1,
2024-03-11,29.7,26,34.2,0,,220,13.1,,1011.8,
2024-03-12,29.7,27.7,34.3,1.6,,225,12.7,,1012.6,
2024-03-13,29.9,27,34.2,1.2,,233,11.2,,1012.9,
2024-03-14,28.2,27.3,33.8,2,,227,11.8,,1012.7,
2024-03-15,30.8,25.6,38,0,,242,10.4,,1011.9,
2024-03-16,30.9,27.1,34.9,0,,212,11.2,,1010.8,
2024-03-17,30.9,27.4,35.2,0.2,,206,11.4,,1010,
