date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,6,3.3,9.4,0,,325,7.1,,1017.1,
2024-01-02,3.4,0,7.8,0,,306,8.7,,1018.4,
2024-01-03,4,1.7,7.2,0,,256,10.6,,1016.8,
2024-01-04,4.2,-1.1,8.9,0,,289,7.7,,1016.7,
2024-01-05,0.9,-2.2,5,0,,271,10.8,,1024.9,
2024-01-06,1.8,0,3.3,14.5,,22,18,,1017.6,
2024-01-07,3.2,2.8,3.9,5.9,,8,12.2,,1005.7,
2024-01-08,4.9,2.8,8.9,0,,301,6.5,,1026.8,
2024-01-09,6.7,3.3,12.2,28.3,,64,16.2,,1017.3,
2024-01-10,9.2,6.7,12.2,20.3,,257,26,,993.6,
2024-01-11,6.5,5,8.9,0,,257,17,,1011.3,
2024-01-12,6.6,3.9,10,3.5,,205,13.2,,1018.3,
2024-01-13,8.7,2.2,12.8,49.6,,275,24.7,,996,
2024-01-14,1.8,-2.2,6.1,0.2,,260,22.9,,1013.2,
2024-01-15,-2.6,-3.9,-1.7,0.5,,257,13.9,,1024,
2024-01-16,-1.8,-5,0.6,9.5,,8,11.5,,1012.1,
2024-01-17,-4.7,-7.2,-1.1,0,,272,19,,1016.4,
2024-01-18,-1.8,-5,0.6,0,,260,15.3,,1020.8,
2024-01-19,-0.6,-2.8,0.6,2.1,,35,10.6,,1011.2,
2024-01-20,-4.7,-6.7,-2.2,0,,302,7.8,,1015.7,
2024-01-21,-2.7,-5.6,2.2,0,,310,7.3,,1027.5,
2024-01-22,-0.1,-3.3,3.3,0,,252,14.5,,1033.7,
2024-01-23,2.8,1.1,4,0,,258,10.8,,1032.9,
2024-01-24,5.8,3.9,8,2.7,,18,6.3,,1031.1,
2024-01-25,9.7,7,12.2,6.1,,286,9.4,,1021.2,
2024-01-26,6.4,5.6,8,4.3,,29,13.8,,1018.4,
2024-01-27,6.7,5.6,7.8,0,,317,5.6,,1022.4,
2024-01-28,4.1,3.3,6,19.4,,42,17.2,,1010.2,
2024-01-29,3.4,2.8,4.4,1.1,,20,7.7,,1011.2,
2024-01-30,2.5,2.2,3.3,0,,67,7.9,,1022.6,
2024-01-31,2.9,1.7,4,0.1,,65,8.6,,1020.5,
2024-02-01,4.3,1.7,6.1,0.3,,257,8.1,,1016,
2024-02-02,4.9,3.3,6,4.1,,339,7.3,,1012.6,
2024-02-03,4,1.1,8.3,0,,47,9.1,,1017.6,
2024-02-04,4.6,1.1,9.4,0,,17,8.4,,1015.7,
2024-02-05,4,1.1,8.9,0,,43,11.8,,1014.5,
2024-02-06,2.8,-0.6,7.2,0,,46,13.3,,1021.9,
2024-02-07,5.2,1.7,10,0,,36,8.5,,1025.8,
2024-02-08,6,2.2,11.1,0,,233,6.8,,1026,
2024-02-09,7.6,5,11.1,0.2,,181,8.1,,1019.4,
2024-02-10,9.9,6.7,13.3,0,,248,8.2,,1011.5,
2024-02-11,7.8,6.1,9.4,0,,292,7.7,,1013.2,
2024-02-12,5.5,3.3,7.2,0.7,,350,8.2,,1012.3,
2024-02-13,2.9,1,5,16.2,,340,13.7,,1003.6,
2024-02-14,1.7,0,4.4,0,,310,8,,1016.6,
2024-02-15,1,-2.2,3.3,1.1,,239,12.4,,1018.3,
2024-02-16,4.6,2.2,8.3,0,,282,9.6,,1011.8,
2024-02-17,0.6,-2.2,2.2,5.6,,331,6.7,,1010.1,
2024-02-18,1,-2.8,5,0,,261,21.2,,1012.3,
2024-02-19,3,0,6.7,0,,269,10.6,,1021.4,
2024-02-20,1.2,-1.1,4.4,0,,65,13.2,,1032.1,
2024-02-21,2.5,0.6,6.1,0,,81,11.6,,1030.4,
2024-02-22,3.9,1.7,6.1,1.3,,193,9.5,,1015.9,
2024-02-23,6.7,5.6,8,4.1,,341,5.1,,999.7,
2024-02-24,4.7,-1.1,7.8,0,,327,7.1,,1006.2,
2024-02-25,0.6,-3.9,5,0,,242,9.9,,1020.4,
2024-02-26,5.9,1.7,12.2,3.3,,247,7.9,,1018,
2024-02-27,8.8,5.6,12.2,4.2,,19,9.8,,1015.3,
2024-02-28,11.7,7.2,14,10.1,,274,7.3,,1005.5,
2024-02-29,3.3,0.6,7.2,0,,284,10.3,,1024.2,
2024-03-01,3.3,-0.6,6.7,0,,211,9.6,,1035.8,
2024-03-02,8.2,5,11.7,25.3,,39,12.7,,1025.7,
2024-03-03,13,8,18.9,0,,336,4.9,,1021.7,
2024-03-04,9.6,7.2,13.3,0,,60,13.9,,1028.1,
2024-03-05,6.7,5.6,8,15.1,,29,16.8,,1021,
2024-03-06,8.2,7.8,9,33.8,,346,12.9,,1015.2,
2024-03-07,9.9,7.2,13.3,5.3,,18,8.9,,1012.4,
2024-03-08,7.9,5,12.2,0,,48,12.1,,1025.5,
2024-03-09,6.1,5,8.3,13.7,,84,19.9,,1017,
2024-03-10,6.9,3.3,10.6,10.9,,297,10.7,,997,
2024-03-11,6.9,2.8,12.8,0,,305,7.5,,1004.7,
2024-03-12,12.2,6.1,19.4,0,,283,8.6,,1010.1,
2024-03-13,11.3,8.3,16.1,0,,17,6.7,,1013.3,
